Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
SelectLocation-1653946503719,1,150,150,150,150,150,150,150,0.000%,6.66667,13.48,11.40
SelectLocation-1653946503744,1,128,128,128,128,128,128,128,0.000%,7.81250,15.79,13.36
DashboardRoute-1653946503483,1,406,406,406,406,406,406,406,0.000%,2.46305,201.65,3.04
TokenizedLogin-1653946503262,1,640,640,640,640,640,640,640,0.000%,1.56250,28.60,5.59
SelectLocationPath-1653946503852,1,68,68,68,68,68,68,68,0.000%,14.70588,49.69,24.66
SelectLocation-1653946503815,1,108,108,108,108,108,108,108,0.000%,9.25926,18.72,15.83
MyBookings-1653946503833,1,97,97,97,97,97,97,97,0.000%,10.30928,18.90,16.39
SelectLocation-1653946503817,1,116,116,116,116,116,116,116,0.000%,8.62069,17.43,14.74
SelectLocationPath-1653946503897,1,69,69,69,69,69,69,69,0.000%,14.49275,48.97,24.30
SelectLocation-1653946503870,1,108,108,108,108,108,108,108,0.000%,9.25926,18.72,15.83
CheckBookingConflicts-1653946503896,1,104,104,104,104,104,104,104,0.000%,9.61538,16.65,16.21
SelectLocationPath-1653946503927,1,74,74,74,74,74,74,74,0.000%,13.51351,45.66,22.66
SelectLocationPath-1653946503928,1,72,72,72,72,72,72,72,0.000%,13.88889,46.93,23.29
GetLocationsInRange-1653946503891,1,112,112,112,112,112,112,112,0.000%,8.92857,12.64,15.39
DashboardRoute-1653946503639,1,383,383,383,383,383,383,383,0.000%,2.61097,213.75,3.23
SelectLocationPath-1653946503960,1,69,69,69,69,69,69,69,0.000%,14.49275,48.97,24.30
LoginCheck-1653946503924,1,123,123,123,123,123,123,123,0.000%,8.13008,9.52,16.36
DashboardRoute-1653946503644,1,414,414,414,414,414,414,414,0.000%,2.41546,197.75,2.98
BookBookable-1653946503896,1,178,178,178,178,178,178,178,0.000%,5.61798,24.74,18.27
SelectLocationPath-1653946504018,1,70,70,70,70,70,70,70,0.000%,14.28571,48.27,23.95
SelectLocationPath-1653946504038,1,68,68,68,68,68,68,68,0.000%,14.70588,49.69,24.66
DeleteBooking-1653946503975,1,193,193,193,193,193,193,193,0.000%,5.18135,24.71,17.03
BookBookable-1653946504003,1,181,181,181,181,181,181,181,0.000%,5.52486,24.33,17.97
GetLocations-1653946504060,1,127,127,127,127,127,127,127,0.000%,7.87402,15.90,12.95
BookBookable-1653946503995,1,199,199,199,199,199,199,199,0.000%,5.02513,22.13,16.35
LoginUser-1653946504079,1,116,116,116,116,116,116,116,0.000%,8.62069,13.51,13.43
LoginCheck-1653946504096,1,104,104,104,104,104,104,104,0.000%,9.61538,11.26,19.35
MyBookings-1653946504095,1,117,117,117,117,117,117,117,0.000%,8.54701,15.67,13.59
LoginCheck-1653946504116,1,100,100,100,100,100,100,100,0.000%,10.00000,11.71,20.13
BookBookable-1653946504027,1,197,197,197,197,197,197,197,0.000%,5.07614,22.35,16.51
SelectLocation-1653946504105,1,127,127,127,127,127,127,127,0.000%,7.87402,15.92,13.46
BookBookable-1653946504057,1,186,186,186,186,186,186,186,0.000%,5.37634,23.67,17.49
BookBookable-1653946504088,1,178,178,178,178,178,178,178,0.000%,5.61798,24.74,18.27
DashboardRoute-1653946503914,1,379,379,379,379,379,379,379,0.000%,2.63852,216.01,3.26
BookBookable-1653946504137,1,167,167,167,167,167,167,167,0.000%,5.98802,26.37,19.48
SelectLocationPath-1653946504266,1,68,68,68,68,68,68,68,0.000%,14.70588,49.69,24.66
BookBookable-1653946504181,1,194,194,194,194,194,194,194,0.000%,5.15464,22.70,16.77
DashboardRoute-1653946503912,1,506,506,506,506,506,506,506,0.000%,1.97628,161.79,2.44
MyBookings-1653946504217,1,202,202,202,202,202,202,202,0.000%,4.95050,9.07,7.87
LoginCheck-1653946504305,1,129,129,129,129,129,129,129,0.000%,7.75194,9.08,15.60
MyBookings-1653946504248,1,190,190,190,190,190,190,190,0.000%,5.26316,9.65,8.37
DeleteBooking-1653946504244,1,295,295,295,295,295,295,295,0.000%,3.38983,16.17,11.14
LoginUser-1653946504298,1,289,289,289,289,289,289,289,0.000%,3.46021,5.42,5.39
TokenizedLogin-1653946503922,1,712,712,712,712,712,712,712,0.000%,1.40449,25.70,5.02
TokenizedLogin-1653946503940,1,699,699,699,699,699,699,699,0.000%,1.43062,26.18,5.12
MyBookings-1653946504318,1,372,372,372,372,372,372,372,0.000%,2.68817,4.93,4.27
MyBookings-1653946504328,1,391,391,391,391,391,391,391,0.000%,2.55754,4.69,4.07
TokenizedLogin-1653946503919,2,868,807,930,930,930,807,930,0.000%,2.15054,39.36,7.69
TokenizedLogin-1653946503932,1,806,806,806,806,806,806,806,0.000%,1.24069,22.71,4.44
LoginCSRF-1653946499750,1,5025,5025,5025,5025,5025,5025,5025,0.000%,.19900,0.22,0.06
LoginCSRF-1653946499719,1,5057,5057,5057,5057,5057,5057,5057,0.000%,.19775,0.21,0.06
DeleteBooking-1653946504480,1,296,296,296,296,296,296,296,0.000%,3.37838,16.11,11.10
LoginUser-1653946504308,1,473,473,473,473,473,473,473,0.000%,2.11416,3.31,3.29
LoginCheck-1653946504507,1,299,299,299,299,299,299,299,0.000%,3.34448,3.92,6.73
CheckBookingsDateType-1653946504291,1,521,521,521,521,521,521,521,0.000%,1.91939,2.40,3.25
MyBookings-1653946504447,1,371,371,371,371,371,371,371,0.000%,2.69542,4.94,4.29
MyBookings-1653946504365,1,453,453,453,453,453,453,453,0.000%,2.20751,4.05,3.51
GetLocationsInRange-1653946504257,1,566,566,566,566,566,566,566,0.000%,1.76678,2.50,3.05
LoginUser-1653946504476,1,357,357,357,357,357,357,357,0.000%,2.80112,4.39,4.36
CheckBookingsDateType-1653946504646,1,194,194,194,194,194,194,194,0.000%,5.15464,6.44,8.73
MyBookings-1653946504294,1,550,550,550,550,550,550,550,0.000%,1.81818,3.33,2.89
BookBookable-1653946504354,1,513,513,513,513,513,513,513,0.000%,1.94932,8.58,6.34
DeleteBooking-1653946504516,1,361,361,361,361,361,361,361,0.000%,2.77008,13.21,9.10
TokenizedLogin-1653946503965,1,912,912,912,912,912,912,912,0.000%,1.09649,20.07,3.92
LoginCSRF-1653946499714,1,5168,5168,5168,5168,5168,5168,5168,0.000%,.19350,0.21,0.06
TokenizedLogin-1653946503942,1,978,978,978,978,978,978,978,0.000%,1.02249,18.71,3.66
TokenizedLogin-1653946499895,1,5034,5034,5034,5034,5034,5034,5034,0.000%,.19865,3.64,0.71
LoginCSRF-1653946499717,1,5293,5293,5293,5293,5293,5293,5293,0.000%,.18893,0.20,0.06
DeleteBooking-1653946504791,1,228,228,228,228,228,228,228,0.000%,4.38596,20.92,14.41
LoginDashboard-1653946504939,1,143,143,143,143,143,143,143,0.000%,6.99301,21.85,12.09
DeleteBooking-1653946504784,1,309,309,309,309,309,309,309,0.000%,3.23625,15.44,10.63
LoginDashboard-1653946504860,1,233,233,233,233,233,233,233,0.000%,4.29185,13.40,7.42
MyBookings-1653946504895,1,211,211,211,211,211,211,211,0.000%,4.73934,8.69,7.53
LoginCSRF-1653946499709,1,5398,5398,5398,5398,5398,5398,5398,0.000%,.18525,0.20,0.05
CheckBookingsDateType-1653946504883,1,227,227,227,227,227,227,227,0.000%,4.40529,5.51,7.46
LoginUser-1653946504865,1,247,247,247,247,247,247,247,0.000%,4.04858,6.35,6.31
CheckBookingConflicts-1653946504860,1,273,273,273,273,273,273,273,0.000%,3.66300,6.34,6.17
DeleteBooking-1653946504853,1,281,281,281,281,281,281,281,0.000%,3.55872,16.97,11.69
CheckBookingConflicts-1653946504827,1,307,307,307,307,307,307,307,0.000%,3.25733,5.64,5.49
DeleteBooking-1653946504871,1,280,280,280,280,280,280,280,0.000%,3.57143,17.03,11.74
LoginDashboard-1653946504878,1,274,274,274,274,274,274,274,0.000%,3.64964,11.40,6.31
CheckBookingsDateType-1653946504814,1,380,380,380,380,380,380,380,0.000%,2.63158,3.29,4.46
DeleteBooking-1653946504919,1,286,286,286,286,286,286,286,0.000%,3.49650,16.68,11.49
SelectLocation-1653946504923,1,312,312,312,312,312,312,312,0.000%,3.20513,6.48,5.48
LoginDashboard-1653946505064,1,221,221,221,221,221,221,221,0.000%,4.52489,14.13,7.82
LoginDashboard-1653946505110,1,205,205,205,205,205,205,205,0.000%,4.87805,15.22,8.43
CheckBookingsDateType-1653946505113,1,219,219,219,219,219,219,219,0.000%,4.56621,5.71,7.74
CheckBookingConflicts-1653946505189,1,202,202,202,202,202,202,202,0.000%,4.95050,8.57,8.34
SelectLocationPath-1653946505318,1,74,74,74,74,74,74,74,0.000%,13.51351,45.66,22.66
DeleteBooking-1653946505201,1,214,214,214,214,214,214,214,0.000%,4.67290,22.29,15.36
GetLocations-1653946505169,1,271,271,271,271,271,271,271,0.000%,3.69004,7.45,6.07
GetLocations-1653946505235,1,247,247,247,247,247,247,247,0.000%,4.04858,8.18,6.66
CheckBookingConflicts-1653946505283,1,288,288,288,288,288,288,288,0.000%,3.47222,6.01,5.85
TokenizedLogin-1653946499897,2,6020,5683,6358,6358,6358,5683,6358,0.000%,.31456,5.76,1.13
LoginDashboard-1653946500205,1,5379,5379,5379,5379,5379,5379,5379,0.000%,.18591,0.58,0.32
LoginCSRF-1653946499637,1,5985,5985,5985,5985,5985,5985,5985,0.000%,.16708,0.18,0.05
DashboardRoute-1653946504657,1,975,975,975,975,975,975,975,0.000%,1.02564,83.97,1.27
LoginCSRF-1653946499584,2,6059,6050,6068,6068,6068,6050,6068,0.000%,.32960,0.36,0.10
CheckBookingConflicts-1653946505368,1,280,280,280,280,280,280,280,0.000%,3.57143,6.18,6.02
LoginCSRF-1653946499606,1,6093,6093,6093,6093,6093,6093,6093,0.000%,.16412,0.18,0.05
LoginCSRF-1653946499656,1,6114,6114,6114,6114,6114,6114,6114,0.000%,.16356,0.18,0.05
LoginCSRF-1653946499655,1,6137,6137,6137,6137,6137,6137,6137,0.000%,.16295,0.18,0.05
LoginCSRF-1653946499824,1,5983,5983,5983,5983,5983,5983,5983,0.000%,.16714,0.18,0.05
LoginCSRF-1653946499581,1,6229,6229,6229,6229,6229,6229,6229,0.000%,.16054,0.17,0.05
LoginCSRF-1653946499757,1,6097,6097,6097,6097,6097,6097,6097,0.000%,.16402,0.18,0.05
LoginCSRF-1653946499780,1,6075,6075,6075,6075,6075,6075,6075,0.000%,.16461,0.18,0.05
GetLocations-1653946505471,1,385,385,385,385,385,385,385,0.000%,2.59740,5.25,4.27
BookBookable-1653946505456,1,412,412,412,412,412,412,412,0.000%,2.42718,10.69,7.90
TokenizedLogin-1653946499839,1,6042,6042,6042,6042,6042,6042,6042,0.000%,.16551,3.03,0.59
GetLocationsInRange-1653946505560,1,332,332,332,332,332,332,332,0.000%,3.01205,4.27,5.19
LoginCSRF-1653946499839,1,6077,6077,6077,6077,6077,6077,6077,0.000%,.16455,0.18,0.05
GetLocations-1653946505595,1,323,323,323,323,323,323,323,0.000%,3.09598,6.25,5.09
LoginCheck-1653946505679,1,252,252,252,252,252,252,252,0.000%,3.96825,4.65,7.99
LoginDashboard-1653946505651,1,286,286,286,286,286,286,286,0.000%,3.49650,10.92,6.04
LoginDashboard-1653946505686,1,252,252,252,252,252,252,252,0.000%,3.96825,12.40,6.86
GetLocationsInRange-1653946505511,1,439,439,439,439,439,439,439,0.000%,2.27790,3.23,3.93
LoginDashboard-1653946505682,1,283,283,283,283,283,283,283,0.000%,3.53357,11.04,6.11
TokenizedLogin-1653946499999,1,5972,5972,5972,5972,5972,5972,5972,0.000%,.16745,3.06,0.60
LoginCSRF-1653946499834,1,6151,6151,6151,6151,6151,6151,6151,0.000%,.16258,0.18,0.05
TokenizedLogin-1653946500082,1,5915,5915,5915,5915,5915,5915,5915,0.000%,.16906,3.09,0.60
TokenizedLogin-1653946500107,1,5904,5904,5904,5904,5904,5904,5904,0.000%,.16938,3.10,0.61
LoginCSRF-1653946499872,1,6144,6144,6144,6144,6144,6144,6144,0.000%,.16276,0.18,0.05
LoginDashboard-1653946505823,1,196,196,196,196,196,196,196,0.000%,5.10204,15.94,8.82
TokenizedLogin-1653946499881,1,6139,6139,6139,6139,6139,6139,6139,0.000%,.16289,2.98,0.58
LoginCSRF-1653946499971,1,6058,6058,6058,6058,6058,6058,6058,0.000%,.16507,0.18,0.05
GetLocations-1653946505702,1,327,327,327,327,327,327,327,0.000%,3.05810,6.18,5.03
LoginCSRF-1653946499960,1,6079,6079,6079,6079,6079,6079,6079,0.000%,.16450,0.18,0.05
LoginDashboard-1653946505701,1,338,338,338,338,338,338,338,0.000%,2.95858,9.25,5.11
LoginDashboard-1653946505777,1,306,306,306,306,306,306,306,0.000%,3.26797,10.21,5.65
LoginCSRF-1653946499933,1,6160,6160,6160,6160,6160,6160,6160,0.000%,.16234,0.18,0.05
LoginCSRF-1653946499743,1,6357,6357,6357,6357,6357,6357,6357,0.000%,.15731,0.17,0.05
LoginDashboard-1653946505838,1,273,273,273,273,273,273,273,0.000%,3.66300,11.45,6.33
LoginDashboard-1653946505922,1,189,189,189,189,189,189,189,0.000%,5.29101,16.52,9.15
TokenizedLogin-1653946500087,1,6039,6039,6039,6039,6039,6039,6039,0.000%,.16559,3.03,0.59
LoginDashboard-1653946505934,1,223,223,223,223,223,223,223,0.000%,4.48430,14.01,7.75
DashboardRoute-1653946504720,1,1462,1462,1462,1462,1462,1462,1462,0.000%,.68399,56.00,0.84
LoginDashboard-1653946505883,1,306,306,306,306,306,306,306,0.000%,3.26797,10.21,5.65
LoginDashboard-1653946505905,1,295,295,295,295,295,295,295,0.000%,3.38983,10.59,5.86
LoginDashboard-1653946505894,1,315,315,315,315,315,315,315,0.000%,3.17460,9.92,5.49
LoginDashboard-1653946505862,1,353,353,353,353,353,353,353,0.000%,2.83286,8.84,4.90
DashboardRoute-1653946504742,1,1504,1504,1504,1504,1504,1504,1504,0.000%,.66489,54.43,0.82
GetLocationsInRange-1653946505880,1,393,393,393,393,393,393,393,0.000%,2.54453,3.60,4.39
SelectLocation-1653946505958,1,360,360,360,360,360,360,360,0.000%,2.77778,5.62,4.75
LoginUser-1653946506001,1,320,320,320,320,320,320,320,0.000%,3.12500,4.90,4.87
MyBookings-1653946505894,1,427,427,427,427,427,427,427,0.000%,2.34192,4.29,3.72
DashboardRoute-1653946504804,1,1555,1555,1555,1555,1555,1555,1555,0.000%,.64309,52.65,0.79
SelectLocationPath-1653946506382,1,612,612,612,612,612,612,612,0.000%,1.63399,5.52,2.74
TokenizedLogin-1653946500089,1,6988,6988,6988,6988,6988,6988,6988,0.000%,.14310,2.62,0.51
LoginDashboard-1653946506144,1,1051,1051,1051,1051,1051,1051,1051,0.000%,.95147,2.97,1.64
LoginDashboard-1653946506045,1,1151,1151,1151,1151,1151,1151,1151,0.000%,.86881,2.72,1.50
LoginDashboard-1653946506195,1,1003,1003,1003,1003,1003,1003,1003,0.000%,.99701,3.12,1.72
LoginDashboard-1653946505978,1,1228,1228,1228,1228,1228,1228,1228,0.000%,.81433,2.54,1.41
LoginDashboard-1653946506049,1,1157,1157,1157,1157,1157,1157,1157,0.000%,.86430,2.70,1.49
GetLocationsInRange-1653946506055,1,1154,1154,1154,1154,1154,1154,1154,0.000%,.86655,1.23,1.49
GetLocationsInRange-1653946506016,1,1192,1192,1192,1192,1192,1192,1192,0.000%,.83893,1.19,1.45
LoginDashboard-1653946506119,1,1102,1102,1102,1102,1102,1102,1102,0.000%,.90744,2.83,1.57
LoginCSRF-1653946499681,1,7542,7542,7542,7542,7542,7542,7542,0.000%,.13259,0.14,0.04
SelectLocation-1653946506001,1,1244,1244,1244,1244,1244,1244,1244,0.000%,.80386,1.62,1.37
LoginDashboard-1653946506116,1,1167,1167,1167,1167,1167,1167,1167,0.000%,.85690,2.68,1.48
DashboardRoute-1653946504980,1,2303,2303,2303,2303,2303,2303,2303,0.000%,.43422,35.55,0.54
SelectLocation-1653946506336,1,947,947,947,947,947,947,947,0.000%,1.05597,2.13,1.81
TokenizedLogin-1653946500285,1,7022,7022,7022,7022,7022,7022,7022,0.000%,.14241,2.61,0.51
TokenizedLogin-1653946500153,1,7154,7154,7154,7154,7154,7154,7154,0.000%,.13978,2.56,0.50
DashboardRoute-1653946506197,1,1163,1163,1163,1163,1163,1163,1163,0.000%,.85985,70.39,1.06
CheckBookingsDateType-1653946506355,1,1010,1010,1010,1010,1010,1010,1010,0.000%,.99010,1.24,1.68
LoginCSRF-1653946499955,1,7418,7418,7418,7418,7418,7418,7418,0.000%,.13481,0.15,0.04
TokenizedLogin-1653946500138,2,7839,7250,8428,8428,8428,7250,8428,0.000%,.23730,4.34,0.85
LoginCheck-1653946506208,1,1186,1186,1186,1186,1186,1186,1186,0.000%,.84317,0.99,1.70
LoginCSRF-1653946499999,1,7395,7395,7395,7395,7395,7395,7395,0.000%,.13523,0.15,0.04
LoginCSRF-1653946499966,1,7429,7429,7429,7429,7429,7429,7429,0.000%,.13461,0.15,0.04
LoginDashboard-1653946500530,1,6867,6867,6867,6867,6867,6867,6867,0.000%,.14562,0.46,0.25
LoginCheck-1653946506267,1,1140,1140,1140,1140,1140,1140,1140,0.000%,.87719,1.03,1.77
LoginCheck-1653946506427,1,979,979,979,979,979,979,979,0.000%,1.02145,1.20,2.06
DashboardRoute-1653946506264,1,1164,1164,1164,1164,1164,1164,1164,0.000%,.85911,70.33,1.06
BookBookable-1653946507081,1,374,374,374,374,374,374,374,0.000%,2.67380,11.77,8.70
SelectLocationPath-1653946507357,1,98,98,98,98,98,98,98,0.000%,10.20408,34.48,17.11
LoginCheck-1653946501500,2,5988,5972,6005,6005,6005,5972,6005,0.000%,.33306,0.39,0.67
LoginDashboard-1653946507237,1,245,245,245,245,245,245,245,0.000%,4.08163,12.75,7.06
LoginCSRF-1653946500010,1,7475,7475,7475,7475,7475,7475,7475,0.000%,.13378,0.15,0.04
LoginCSRF-1653946500021,1,7464,7464,7464,7464,7464,7464,7464,0.000%,.13398,0.15,0.04
DeleteBooking-1653946506400,1,1085,1085,1085,1085,1085,1085,1085,0.000%,.92166,4.40,3.03
LoginCheck-1653946501509,1,5996,5996,5996,5996,5996,5996,5996,0.000%,.16678,0.20,0.34
LoginCSRF-1653946499884,1,7620,7620,7620,7620,7620,7620,7620,0.000%,.13123,0.14,0.04
LoginCheck-1653946501214,1,6290,6290,6290,6290,6290,6290,6290,0.000%,.15898,0.19,0.32
TokenizedLogin-1653946505390,1,2125,2125,2125,2125,2125,2125,2125,0.000%,.47059,8.61,1.68
LoginCheck-1653946507360,1,172,172,172,172,172,172,172,0.000%,5.81395,6.81,11.70
LoginCheck-1653946507446,1,110,110,110,110,110,110,110,0.000%,9.09091,10.64,18.30
CheckBookingConflicts-1653946507440,1,128,128,128,128,128,128,128,0.000%,7.81250,13.53,13.17
DashboardRoute-1653946505999,1,1581,1581,1581,1581,1581,1581,1581,0.000%,.63251,51.78,0.78
LoginUser-1653946507436,1,148,148,148,148,148,148,148,0.000%,6.75676,10.59,10.52
TokenizedLogin-1653946500118,1,7499,7499,7499,7499,7499,7499,7499,0.000%,.13335,2.44,0.48
LoginCheck-1653946507499,1,153,153,153,153,153,153,153,0.000%,6.53595,7.65,13.15
DashboardRoute-1653946504924,1,2729,2729,2729,2729,2729,2729,2729,0.000%,.36643,30.00,0.45
TokenizedLogin-1653946500069,1,7668,7668,7668,7668,7668,7668,7668,0.000%,.13041,2.39,0.47
SelectLocationPath-1653946507283,1,460,460,460,460,460,460,460,0.000%,2.17391,7.35,3.65
DashboardRoute-1653946506032,1,1721,1721,1721,1721,1721,1721,1721,0.000%,.58106,47.57,0.72
LoginCheck-1653946507596,1,160,160,160,160,160,160,160,0.000%,6.25000,7.32,12.58
SelectLocation-1653946507270,1,495,495,495,495,495,495,495,0.000%,2.02020,4.08,3.45
DashboardRoute-1653946506064,1,1702,1702,1702,1702,1702,1702,1702,0.000%,.58754,48.10,0.73
TokenizedLogin-1653946500021,1,7748,7748,7748,7748,7748,7748,7748,0.000%,.12907,2.36,0.46
MyBookings-1653946507554,1,222,222,222,222,222,222,222,0.000%,4.50450,8.26,7.16
SelectLocation-1653946507294,1,510,510,510,510,510,510,510,0.000%,1.96078,3.96,3.35
LoginUser-1653946507635,1,171,171,171,171,171,171,171,0.000%,5.84795,9.17,9.11
BookBookable-1653946507555,1,255,255,255,255,255,255,255,0.000%,3.92157,17.27,12.76
LoginCheck-1653946507664,1,145,145,145,145,145,145,145,0.000%,6.89655,8.08,13.88
LoginUser-1653946507600,2,734,214,1255,1255,1255,214,1255,0.000%,1.59363,2.50,2.48
CheckBookingsDateType-1653946507626,1,220,220,220,220,220,220,220,0.000%,4.54545,5.68,7.70
DashboardRoute-1653946504961,1,2890,2890,2890,2890,2890,2890,2890,0.000%,.34602,28.33,0.43
LoginUser-1653946507722,1,139,139,139,139,139,139,139,0.000%,7.19424,11.28,11.21
SelectLocationPath-1653946507797,1,79,79,79,79,79,79,79,0.000%,12.65823,42.77,21.22
DashboardRoute-1653946505590,1,2287,2287,2287,2287,2287,2287,2287,0.000%,.43725,35.80,0.54
DashboardRoute-1653946504952,1,2974,2974,2974,2974,2974,2974,2974,0.000%,.33625,27.53,0.42
DashboardRoute-1653946505915,1,2015,2015,2015,2015,2015,2015,2015,0.000%,.49628,40.63,0.61
DashboardRoute-1653946500416,1,7514,7514,7514,7514,7514,7514,7514,0.000%,.13308,10.90,0.16
SelectLocationPath-1653946507860,1,72,72,72,72,72,72,72,0.000%,13.88889,46.93,23.29
TokenizedLogin-1653946500195,1,7777,7777,7777,7777,7777,7777,7777,0.000%,.12858,2.35,0.46
TokenizedLogin-1653946500083,1,7906,7906,7906,7906,7906,7906,7906,0.000%,.12649,2.31,0.45
DashboardRoute-1653946507161,1,829,829,829,829,829,829,829,0.000%,1.20627,98.76,1.49
LoginCheck-1653946507802,1,188,188,188,188,188,188,188,0.000%,5.31915,6.23,10.71
DashboardRoute-1653946506054,1,1960,1960,1960,1960,1960,1960,1960,0.000%,.51020,41.77,0.63
LoginUser-1653946507856,1,174,174,174,174,174,174,174,0.000%,5.74713,9.01,8.95
LoginCheck-1653946507915,1,191,191,191,191,191,191,191,0.000%,5.23560,6.13,10.54
BookBookable-1653946507822,1,290,290,290,290,290,290,290,0.000%,3.44828,15.18,11.22
LoginDashboard-1653946507397,1,727,727,727,727,727,727,727,0.000%,1.37552,4.29,2.38
CheckBookingsDateType-1653946507907,1,217,217,217,217,217,217,217,0.000%,4.60829,5.76,7.81
LoginUser-1653946507844,1,289,289,289,289,289,289,289,0.000%,3.46021,5.42,5.39
LoginCheck-1653946507858,1,277,277,277,277,277,277,277,0.000%,3.61011,4.23,7.27
DeleteBooking-1653946507782,1,357,357,357,357,357,357,357,0.000%,2.80112,13.36,9.20
CheckBookingConflicts-1653946507915,1,231,231,231,231,231,231,231,0.000%,4.32900,7.50,7.30
LoginUser-1653946507398,1,749,749,749,749,749,749,749,0.000%,1.33511,2.09,2.08
LoginDashboard-1653946507517,1,651,651,651,651,651,651,651,0.000%,1.53610,4.80,2.66
TokenizedLogin-1653946500266,1,7904,7904,7904,7904,7904,7904,7904,0.000%,.12652,2.32,0.45
TokenizedLogin-1653946500078,1,8106,8106,8106,8106,8106,8106,8106,0.000%,.12337,2.26,0.44
LoginDashboard-1653946507494,1,712,712,712,712,712,712,712,0.000%,1.40449,4.38,2.43
LoginDashboard-1653946507406,1,814,814,814,814,814,814,814,0.000%,1.22850,3.84,2.12
LoginUser-1653946507504,1,749,749,749,749,749,749,749,0.000%,1.33511,2.09,2.08
LoginCheck-1653946507998,1,256,256,256,256,256,256,256,0.000%,3.90625,4.57,7.86
LoginUser-1653946507472,1,793,793,793,793,793,793,793,0.000%,1.26103,1.98,1.96
LoginCheck-1653946507988,1,290,290,290,290,290,290,290,0.000%,3.44828,4.04,6.94
LoginCheck-1653946507940,1,349,349,349,349,349,349,349,0.000%,2.86533,3.36,5.77
CheckBookingsDateType-1653946507942,1,356,356,356,356,356,356,356,0.000%,2.80899,3.51,4.76
LoginCheck-1653946508017,1,305,305,305,305,305,305,305,0.000%,3.27869,3.84,6.60
CheckBookingsDateType-1653946507889,1,441,441,441,441,441,441,441,0.000%,2.26757,2.83,3.84
MyBookings-1653946507889,1,460,460,460,460,460,460,460,0.000%,2.17391,3.98,3.46
BookBookable-1653946507955,1,399,399,399,399,399,399,399,0.000%,2.50627,11.04,8.15
LoginUser-1653946508019,1,343,343,343,343,343,343,343,0.000%,2.91545,4.57,4.54
DashboardRoute-1653946506218,1,2152,2152,2152,2152,2152,2152,2152,0.000%,.46468,38.04,0.57
LoginCheck-1653946507971,1,420,420,420,420,420,420,420,0.000%,2.38095,2.79,4.79
LoginUser-1653946508123,1,272,272,272,272,272,272,272,0.000%,3.67647,5.76,5.73
BookBookable-1653946507995,1,409,409,409,409,409,409,409,0.000%,2.44499,10.77,7.95
MyBookings-1653946508118,1,306,306,306,306,306,306,306,0.000%,3.26797,5.99,5.20
LoginDashboard-1653946507558,1,875,875,875,875,875,875,875,0.000%,1.14286,3.57,1.98
DashboardRoute-1653946500518,1,7924,7924,7924,7924,7924,7924,7924,0.000%,.12620,10.33,0.16
LoginDashboard-1653946507554,1,888,888,888,888,888,888,888,0.000%,1.12613,3.51,1.95
LoginCheck-1653946508070,1,373,373,373,373,373,373,373,0.000%,2.68097,3.14,5.40
CheckBookingsDateType-1653946508115,1,366,366,366,366,366,366,366,0.000%,2.73224,3.42,4.63
TokenizedLogin-1653946505454,2,4084,3047,5122,5122,5122,3047,5122,0.000%,.39047,7.15,1.40
CheckBookingConflicts-1653946508135,1,378,378,378,378,378,378,378,0.000%,2.64550,4.58,4.46
DashboardRoute-1653946501155,1,7364,7364,7364,7364,7364,7364,7364,0.000%,.13580,11.12,0.17
LoginUser-1653946508155,1,382,382,382,382,382,382,382,0.000%,2.61780,4.10,4.08
TokenizedLogin-1653946500334,1,8218,8218,8218,8218,8218,8218,8218,0.000%,.12168,2.23,0.44
TokenizedLogin-1653946500232,1,8330,8330,8330,8330,8330,8330,8330,0.000%,.12005,2.20,0.43
LoginUser-1653946507560,1,1041,1041,1041,1041,1041,1041,1041,0.000%,.96061,1.51,1.50
LoginCheck-1653946508390,1,243,243,243,243,243,243,243,0.000%,4.11523,4.82,8.28
CheckBookingsDateType-1653946508176,1,489,489,489,489,489,489,489,0.000%,2.04499,2.56,3.46
GetLocations-1653946507576,1,1095,1095,1095,1095,1095,1095,1095,0.000%,.91324,1.84,1.50
LoginUser-1653946508323,1,357,357,357,357,357,357,357,0.000%,2.80112,4.39,4.36
LoginUser-1653946508408,1,302,302,302,302,302,302,302,0.000%,3.31126,5.19,5.16
CheckBookingsDateType-1653946508410,1,314,314,314,314,314,314,314,0.000%,3.18471,3.98,5.40
LoginDashboard-1653946507269,1,1461,1461,1461,1461,1461,1461,1461,0.000%,.68446,2.14,1.18
DeleteBooking-1653946508434,1,298,298,298,298,298,298,298,0.000%,3.35570,16.01,11.03
LoginUser-1653946508426,1,305,305,305,305,305,305,305,0.000%,3.27869,5.14,5.11
TokenizedLogin-1653946500092,1,8640,8640,8640,8640,8640,8640,8640,0.000%,.11574,2.12,0.41
CheckBookingsDateType-1653946508219,1,527,527,527,527,527,527,527,0.000%,1.89753,2.37,3.22
TokenizedLogin-1653946500199,1,8551,8551,8551,8551,8551,8551,8551,0.000%,.11695,2.14,0.42
CheckBookingsDateType-1653946508315,1,448,448,448,448,448,448,448,0.000%,2.23214,2.79,3.78
MyBookings-1653946508427,1,340,340,340,340,340,340,340,0.000%,2.94118,5.39,4.68
LoginUser-1653946508334,1,456,456,456,456,456,456,456,0.000%,2.19298,3.44,3.42
LoginUser-1653946508304,1,499,499,499,499,499,499,499,0.000%,2.00401,3.14,3.12
