Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
LoginDashboard-1653946499758,1,98,98,98,98,98,98,98,0.000%,10.20408,31.88,17.64
LoginDashboard-1653946499761,1,99,99,99,99,99,99,99,0.000%,10.10101,31.56,17.46
LoginDashboard-1653946499768,1,99,99,99,99,99,99,99,0.000%,10.10101,31.57,17.46
LoginDashboard-1653946499775,1,100,100,100,100,100,100,100,0.000%,10.00000,31.22,17.29
LoginDashboard-1653946499780,1,97,97,97,97,97,97,97,0.000%,10.30928,32.23,17.82
LoginDashboard-1653946499794,1,96,96,96,96,96,96,96,0.000%,10.41667,32.56,18.01
LoginDashboard-1653946499833,1,97,97,97,97,97,97,97,0.000%,10.30928,32.22,17.82
LoginDashboard-1653946499857,1,102,102,102,102,102,102,102,0.000%,9.80392,30.60,16.95
LoginDashboard-1653946499895,1,120,120,120,120,120,120,120,0.000%,8.33333,26.02,14.40
LoginDashboard-1653946499898,1,123,123,123,123,123,123,123,0.000%,8.13008,25.38,14.05
LoginDashboard-1653946499921,1,117,117,117,117,117,117,117,0.000%,8.54701,26.69,14.77
LoginDashboard-1653946499892,1,165,165,165,165,165,165,165,0.000%,6.06061,18.95,10.48
LoginCSRF-1653946499550,1,561,561,561,561,561,561,561,0.000%,1.78253,1.93,0.52
LoginDashboard-1653946499460,1,926,926,926,926,926,926,926,0.000%,1.07991,3.37,1.87
TokenizedLogin-1653946499764,1,648,648,648,648,648,648,648,0.000%,1.54321,28.23,5.52
TokenizedLogin-1653946499798,1,658,658,658,658,658,658,658,0.000%,1.51976,27.81,5.44
LoginCSRF-1653946499601,2,3479,861,6097,6097,6097,861,6097,0.000%,.32798,0.36,0.10
LoginCSRF-1653946499555,1,989,989,989,989,989,989,989,0.000%,1.01112,1.10,0.30
LoginCSRF-1653946499793,2,3428,760,6097,6097,6097,760,6097,0.000%,.32803,0.36,0.10
LoginCSRF-1653946499758,1,816,816,816,816,816,816,816,0.000%,1.22549,1.33,0.36
LoginCSRF-1653946499764,1,813,813,813,813,813,813,813,0.000%,1.23001,1.33,0.36
LoginCSRF-1653946499835,2,3390,758,6022,6022,6022,758,6022,0.000%,.33212,0.36,0.10
LoginCSRF-1653946499865,1,737,737,737,737,737,737,737,0.000%,1.35685,1.47,0.40
TokenizedLogin-1653946499826,1,778,778,778,778,778,778,778,0.000%,1.28535,23.52,4.60
LoginCSRF-1653946499867,1,737,737,737,737,737,737,737,0.000%,1.35685,1.47,0.40
TokenizedLogin-1653946499794,1,813,813,813,813,813,813,813,0.000%,1.23001,22.50,4.40
LoginCSRF-1653946500025,1,595,595,595,595,595,595,595,0.000%,1.68067,1.82,0.49
LoginCSRF-1653946499975,1,663,663,663,663,663,663,663,0.000%,1.50830,1.64,0.44
LoginCSRF-1653946500030,1,612,612,612,612,612,612,612,0.000%,1.63399,1.77,0.48
LoginDashboard-1653946500573,1,96,96,96,96,96,96,96,0.000%,10.41667,32.51,18.01
TokenizedLogin-1653946500040,1,676,676,676,676,676,676,676,0.000%,1.47929,27.07,5.29
LoginDashboard-1653946500634,1,96,96,96,96,96,96,96,0.000%,10.41667,32.55,18.01
TokenizedLogin-1653946500057,1,684,684,684,684,684,684,684,0.000%,1.46199,26.75,5.23
LoginDashboard-1653946500638,1,107,107,107,107,107,107,107,0.000%,9.34579,29.21,16.15
LoginDashboard-1653946500646,2,3469,107,6831,6831,6831,107,6831,0.000%,.29278,0.91,0.51
LoginDashboard-1653946500641,1,114,114,114,114,114,114,114,0.000%,8.77193,27.40,15.16
LoginDashboard-1653946500671,1,106,106,106,106,106,106,106,0.000%,9.43396,29.49,16.31
TokenizedLogin-1653946500027,1,764,764,764,764,764,764,764,0.000%,1.30890,23.95,4.68
LoginDashboard-1653946500697,1,100,100,100,100,100,100,100,0.000%,10.00000,31.22,17.29
LoginDashboard-1653946500686,1,137,137,137,137,137,137,137,0.000%,7.29927,22.80,12.62
LoginDashboard-1653946500682,1,147,147,147,147,147,147,147,0.000%,6.80272,21.25,11.76
